267 120 429999.960 2707000.000 430224.960 2707500.625
267 120 429999.960 2707000.000 430224.960 2707500.625
0 0 22.6675 0.0126682 6 3.8 18
0 0 1.501 2 2 4 0
0 0 22.5923 0.00216717 6 3 4
0 1 22.3737 0.0125204 3 3 6
1 0 22.6542 0.013803 3 0 11
1 1 22.4108 0.0142609 4 3 12
0 1 22.3155 0.00492616 7 3.47368 29
0 1 1.488 2 2 4 0
0 0 22.5233 0.00857777 5 0.5 9
0 1 22.4052 0.0124556 5 3.16667 11
1 0 22.3155 0.00728843 4 1.5 14
1 1 22.2855 0.00938885 6 3.66667 12
0 2 22.3137 0.00604145 6 3.92 27
0 2 1.493 2 2 4 0
0 0 22.3382 0.00990174 4 3.16667 11
0 1 22.5666 0.00804327 3 1.33333 11
1 0 22.5204 0.00785607 5 2.6 12
1 1 22.3401 0.00717503 4 3.85714 16
0 3 22.3478 0.00774648 5 3.0625 31
0 3 1.485 2 2 4 0
0 0 22.3912 0.00609539 4 3.66667 8
0 1 22.379 0.00801046 4 3 6
1 0 22.3135 0.00252606 4 3.33333 15
1 1 22.3279 0.00522982 4 1 20
0 4 22.3315 0.0127614 6 2.54545 27
0 4 1.697 2 2 4 0
0 0 22.5143 0.013955 5 3.5 6
0 1 22.4915 0.0192879 5 3.75 5
1 0 22.2934 0.00471944 6 1.33333 22
1 1 22.3714 0.0106994 5 2.33333 16
0 5 22.4903 0.00514765 7 3.5625 23
0 5 1.464 2 2 4 0
0 0 22.5526 0.0133529 6 0.5 9
0 1 22.5917 0.00984697 6 3.25 7
1 0 22.412 0.0111806 4 0.25 19
1 1 22.7278 0.00366369 6 3.75 10
0 6 22.6629 0.00960307 7 2.58333 29
0 6 1.368 2 2 4 0
0 0 22.6434 0.0131285 3 3.6 7
0 1 22.5816 0.01565 4 3 8
1 0 22.6988 0.00971096 8 3.16667 11
1 1 22.7302 0.00846488 7 3.3 17
0 7 22.6887 0.00692536 8 3.54545 16
0 7 1.631 2 2 4 0
0 0 22.3995 0.00428179 5 3.25 7
0 1 22.5961 0.012167 6 3.4 8
1 0 22.5235 0.00802844 7 1.5 14
1 1 22.533 0.0103917 6 2.42857 18
0 8 22.2842 0.00851123 5 1 28
0 8 1.499 2 2 4 0
0 0 22.2991 0.0156886 3 0.5 9
0 1 22.2849 0.00727383 3 0.5 9
1 0 22.5105 0.0108956 5 3.44444 14
1 1 22.2687 0.00618017 4 2.5 15
0 9 22.3367 0.0061387 9 3.53846 19
0 9 1.545 2 2 4 0
0 0 22.3472 0.0154348 4 2 9
0 1 22.2499 0.0062908 5 1.66667 10
1 0 22.2803 0.00669031 7 2.42857 18
1 1 22.2841 0.00522799 6 2 15
0 10 22.2845 0.00545705 5 3.625 22
0 10 1.624 2 2 4 0
0 0 22.2347 0.00763699 3 0 9
0 1 22.2744 0.00639908 1 5 9
1 0 22.3332 0.0115025 5 1.5 14
1 1 22.2588 0.00398674 3 3.1 19
0 11 22.3192 0.00656135 4 3.85714 24
0 11 1.602 2 2 4 0
0 0 22.1725 0.0076545 3 0.666667 13
0 1 22.1825 0.0109876 4 2.8 11
1 0 22.2391 0.00378498 3 3 14
1 1 22.3254 0.00449767 5 3 12
0 12 22.2567 0.00742791 6 3.76471 21
0 12 1.496 2 2 4 0
0 0 22.2171 0.0118554 3 0 11
0 1 22.2465 0.0127905 4 3.8 6
1 0 22.1529 0.0134677 5 1.66667 10
1 1 21.8031 0.002978 3 3.92308 14
0 13 22.122 0.0072246 6 2.93333 31
0 13 1.498 2 2 4 0
0 0 22.0354 0.0149128 6 3.5 6
0 1 21.9792 0.00866412 5 3.5 9
1 0 22.2156 0.00887616 4 0 15
1 1 22.0986 0.0132082 4 2 15
0 14 22.1407 0.00886458 5 3.05263 37
0 14 1.354 2 2 4 0
0 0 22.1547 0.0144856 3 2.2 14
0 1 22.2498 0.0130337 5 3.66667 8
1 0 22.1388 0.0125253 4 2.375 21
1 1 22.2037 0.00276771 6 3.90909 12
0 15 22.1867 0.00317741 5 2.53846 32
0 15 1.471 2 2 4 0
0 0 22.2663 0.00686562 3 2.25 11
0 1 22.1957 0.00637592 5 2.5 10
1 0 22.1742 0.00905074 5 0 24
1 1 22.2225 0.00284703 7 2.66667 14
0 16 22.3068 0.00888246 5 3.16667 22
0 16 1.493 2 2 4 0
0 0 22.003 0.00253468 3 3.8 6
0 1 21.9264 0.00659866 3 3 8
1 0 22.1502 0.0174204 6 3.58333 17
1 1 22.3716 0.00283497 5 3.16667 11
0 17 22.4092 0.0125849 6 0 28
0 17 1.370 2 2 4 0
0 0 22.325 0.00826195 4 3 6
0 1 22.2408 0.0069231 5 3.6 7
1 0 22.0936 0.00458197 5 3.875 9
1 1 21.8116 0.00539706 5 3.90909 12
0 18 22.3686 0.00483005 4 0 27
0 18 1.360 2 2 4 0
0 0 22.4328 0.0205592 3 3.5 6
0 1 22.3722 0.00266736 4 3.6 7
1 0 22.347 0.00519862 4 0 14
1 1 22.3306 0.00628245 4 2.83333 13
0 19 22.3586 0.00636076 6 3.68421 25
0 19 1.370 2 2 4 0
0 0 22.4595 0.0139601 3 1.33333 11
0 1 22.3253 0.0102293 5 3.6 7
1 0 22.5363 0.00464408 5 3.8 12
1 1 22.5617 0.004615 5 3.16667 11
0 20 22.3227 0.00750886 6 3.57895 27
0 20 1.471 2 2 4 0
0 0 22.388 0.00169782 4 3.83333 7
0 1 22.4229 0.00813883 5 2.25 11
1 0 22.6104 0.00650262 4 1.25 15
1 1 22.5476 0.00633944 5 2 12
0 21 22.3449 0.00597698 7 3.86957 26
0 21 1.468 2 2 4 0
0 0 22.3923 0.019303 4 3.25 7
0 1 22.2461 0.00686014 5 2 6
1 0 22.5558 0.00700766 6 2.83333 13
1 1 22.3978 0.00654041 6 3.75 10
0 22 22.3569 0.00520207 7 3.78947 23
0 22 1.489 2 2 4 0
0 0 22.4006 0.00531867 4 2.33333 8
0 1 22.5962 0.010132 5 0 9
1 0 22.4525 0.00600523 5 1.8 16
1 1 22.5405 0.00845893 5 0.75 17
0 23 22.4128 0.00756204 4 2.3 27
0 23 1.670 2 2 4 0
0 0 22.3735 0.007979 3 3.25 7
0 1 22.4419 0.00952097 2 0 11
1 0 22.3946 0.00618211 5 3.85714 16
1 1 22.324 0.00858871 3 0.4 23
0 24 22.3267 0.00629654 7 3 30
0 24 1.454 2 2 4 0
0 0 22.3234 0.0060947 4 3.4 8
0 1 22.3925 0.0139375 4 1 8
1 0 22.2462 0.00391848 4 3.8 12
1 1 22.5948 0.00846433 4 2.2 14
0 25 22.3955 0.0063851 6 3.72 32
0 25 1.240 2 2 4 0
0 0 22.5674 0.0148159 7 1.5 7
0 1 22.4089 0.00942356 4 2.75 9
1 0 21.8562 0.0031221 6 3.75 15
1 1 21.8304 0.00231231 5 3.8 12
0 26 22.4508 0.00324512 9 3.47368 29
0 26 1.243 2 2 4 0
0 0 22.4112 0.00424133 6 3 10
0 1 21.7968 0.00385498 4 3.375 13
1 0 22.5481 0.0188586 5 3.33333 10
1 1 21.8208 0.00372989 5 3.91667 13
0 27 22.435 0.0058479 6 2.93333 31
0 27 1.460 2 2 4 0
0 0 22.5259 0.0079998 5 2.25 11
0 1 22.4179 0.0156091 4 3.2 9
1 0 22.3802 0.00758975 5 3.22222 16
1 1 22.4444 0.00564012 4 2.5 15
0 28 22.5214 0.00341182 8 3 30
0 28 1.464 2 2 4 0
0 0 22.5299 0.00321181 5 3.75 10
0 1 22.567 0.00998333 5 3.625 11
1 0 22.4606 0.011813 3 3.66667 16
1 1 22.4328 0.00577669 5 3.90909 12
0 29 22.4667 0.00827061 6 3.83333 28
0 29 1.579 2 2 4 0
0 0 22.5267 0.00449054 5 3.57143 10
0 1 22.7044 0.0227388 5 0 7
1 0 22.4903 0.00630726 5 2.77778 20
1 1 22.5593 0.00607016 6 3.625 11
0 30 22.4992 0.00698995 7 1.83333 19
0 30 1.479 2 2 4 0
0 0 22.2514 0.00833884 3 3.25 7
0 1 22.1983 0.00554216 5 3.83333 7
1 0 22.5548 0.00977204 6 3 8
1 1 21.9978 0.0120908 6 3.83333 14
0 31 21.9705 0.00667359 6 2.45455 56
0 31 1.585 2 2 4 0
0 0 21.996 0.00363729 5 2.28571 19
0 1 22.2497 0.0088709 5 3.375 13
1 0 21.9353 0.00642098 5 1.53846 45
1 1 21.8868 0.00254366 4 1.375 29
0 32 22.3048 0.00476312 5 3.36364 18
0 32 1.589 2 2 4 0
0 0 22.3444 0.00600401 4 2 6
0 1 21.9784 0.0050342 3 3.66667 4
1 0 21.9253 0.00623762 5 2.77778 20
1 1 22.2768 0.00685852 4 3.66667 12
0 33 22.311 0.00213308 5 2.77778 20
0 33 1.617 2 2 4 0
0 0 22.3033 0.00632818 3 3 4
0 1 22.5428 0.00507725 5 1 4
1 0 22.3074 0.00474517 4 3.33333 15
1 1 22.3061 0.00565275 5 3.11111 17
0 34 22.3517 0.0040836 5 2.6 24
0 34 1.697 2 2 4 0
0 0 22.3101 0.0108608 3 3.5 6
0 1 22.3181 0.0117386 3 2.66667 7
1 0 22.2896 0.00899395 4 3.72727 14
1 1 22.4107 0.0191135 3 3.75 15
0 35 22.2765 0.00402398 6 3.58824 24
0 35 1.670 2 2 4 0
0 0 22.2568 0.00690359 5 3.33333 5
0 1 22.2792 0.00366575 3 3.85714 8
1 0 22.2452 0.00498462 5 3.9 11
1 1 22.3662 0.01143 5 3.77778 11
0 36 22.3435 0.00705979 6 2.38462 34
0 36 1.742 2 2 4 0
0 0 22.4368 0.00559179 4 2.66667 7
0 1 22.2614 0.00882767 4 3.83333 7
1 0 22.2385 0.00387519 5 3.3 17
1 1 22.3361 0.00746597 4 1.5 21
0 37 22.431 0.00903213 7 3.83333 21
0 37 1.734 2 2 4 0
0 0 22.5346 0.0150543 6 2.75 9
0 1 22.5411 0.00995128 6 2.75 9
1 0 22.1534 0.00685801 4 0 12
1 1 22.2364 0.00492896 5 1.66667 10
0 38 22.3035 0.00424753 4 2.81818 24
0 38 1.714 2 2 4 0
0 0 22.2571 0.0051452 4 3.5 9
0 1 22.3005 0.00985862 3 2.33333 8
1 0 22.2629 0.00690907 3 0 21
1 1 22.3441 0.0110673 4 3.84615 15
0 39 22.3373 0.00742782 4 3.44444 28
0 39 1.733 2 2 4 0
0 0 22.314 0.0107809 2 0 8
0 1 22.3704 0.00869397 3 3.5 6
1 0 22.2225 0.00516104 5 2.88889 19
1 1 22.35 0.00771532 4 0 17
0 40 22.3145 0.00537321 5 3.2 18
0 40 1.718 2 2 4 0
0 0 22.4591 0.00275665 3 0 7
0 1 22.3851 0.0119478 3 1 8
1 0 22.2144 0.00567262 3 3.25 14
1 1 22.1549 0.0122285 3 3.92308 14
0 41 22.5313 0.00493982 6 1.85714 22
0 41 1.607 2 2 4 0
0 0 22.5854 0.00594968 3 0 6
0 1 22.5617 0.00697444 3 1.5 7
1 0 22.3302 0.00671201 6 3.91667 13
1 1 22.5079 0.00637213 6 1.33333 22
0 42 22.3594 0.00737389 4 3.25 28
0 42 1.670 2 2 4 0
0 0 22.3558 0.0158945 3 3.8 6
0 1 22.3781 0.0123333 3 2 12
1 0 22.4214 0.0075729 3 3.84615 15
1 1 22.3413 0.00319638 3 3.11111 17
0 43 22.2868 0.00391733 5 3.52941 25
0 43 1.561 2 2 4 0
0 0 22.5456 0.0192425 2 0 3
0 1 22.5699 0.00160007 2 0 2
1 0 22.34 0.00627321 3 3.375 13
1 1 22.3774 0.00468453 5 3.33333 15
0 44 22.2553 0.00387249 5 3.82353 20
0 44 1.733 2 2 4 0
0 0 22.2785 0.00831904 3 0 13
0 1 22.5287 0.0144002 2 0 2
1 0 22.3205 0.00470701 6 3.76923 16
1 1 22.4709 0.0106084 2 0 15
0 45 22.2176 0.00429963 6 3.18182 20
0 45 1.737 2 2 4 0
0 0 22.2261 0.00891683 4 3.5 6
0 1 22.2384 0.00316738 5 3.5 6
1 0 22.4264 0.00941009 4 3 18
1 1 22.1809 0.00349138 4 0 13
0 46 22.0922 0.00760807 7 0 16
0 46 1.718 2 2 4 0
0 0 22.1073 0.0123352 4 0 6
0 1 22.5658 0.00517362 4 3.8 6
1 0 22.185 0.00448946 3 0 18
1 1 22.3635 0.0113313 4 3.14286 13
0 47 22.3554 0.00443108 6 3.07692 25
0 47 1.498 2 2 4 0
0 0 22.33 0.00578346 5 1.5 7
0 1 22.3299 0.010854 3 0 11
1 0 22.3855 0.00520341 5 3.28571 12
1 1 22.3707 0.00718161 5 3.66667 12
0 48 22.3371 0.00626909 5 3.06667 29
0 48 1.618 2 2 4 0
0 0 22.6599 0.00424158 2 0 3
0 1 22.3847 0.00454181 3 3.5 9
1 0 22.3204 0.00597633 5 3.25 14
1 1 22.3029 0.00635662 4 2.28571 19
0 49 22.3435 0.00483883 4 2 30
0 49 1.729 2 2 4 0
0 0 22.3404 0.00534687 4 3.33333 5
0 1 22.3707 0.00504452 3 2.33333 8
1 0 22.3159 0.00560478 5 0 18
1 1 22.3365 0.00612912 4 1.71429 23
0 50 22.3345 0.00246996 5 3.52941 25
0 50 1.495 2 2 4 0
0 0 22.4271 0.00583615 3 2.5 10
0 1 22.5948 0.00905807 3 2.66667 7
1 0 22.3467 0.00724808 4 0.8 21
1 1 22.3427 0.00420193 3 3.1 19
0 51 22.2939 0.00557685 4 1.7 33
0 51 1.615 2 2 4 0
0 0 22.6292 0.0185886 2 0 5
0 1 22.5888 0.00404684 2 0 3
1 0 22.6838 0.0121068 2 0 9
1 1 22.3333 0.00606181 6 2.5 15
0 52 22.254 0.00472299 4 3.25 28
0 52 1.670 2 2 4 0
0 0 22.313 0.00249893 5 1.66667 10
0 1 22.5349 0.0185318 2 0 5
1 0 22.3234 0.00828527 4 1.85714 22
1 1 22.2605 0.0044748 3 3.8 12
0 53 22.4541 0.00937599 3 1.85714 22
0 53 1.545 2 2 4 0
0 0 22.4729 0.00581392 3 2.33333 8
0 1 22.2163 0.00673512 3 3.5 9
1 0 22.4465 0.0130268 3 3.28571 12
1 1 22.193 0.00501967 3 2.88889 19
0 54 22.1474 0.00893376 3 0 26
